"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
21,166,"PRK","North Korea",2,"Hamgyong-bukto",21,"Ch'ongjin","Si","City",NA,"Chongjin"
22,166,"PRK","North Korea",2,"Hamgyong-bukto",22,"Hoeryong","Si","City",NA,"Hoiryong"
23,166,"PRK","North Korea",2,"Hamgyong-bukto",23,"Hwadae","Gun","County",NA,NA
24,166,"PRK","North Korea",2,"Hamgyong-bukto",24,"Hwasong","Gun","County",NA,"Hwasong"
25,166,"PRK","North Korea",2,"Hamgyong-bukto",25,"Kilchu","Gun","County",NA,"Kiliju"
26,166,"PRK","North Korea",2,"Hamgyong-bukto",26,"Kimch'aek","Si","City",NA,"Kimchaek"
27,166,"PRK","North Korea",2,"Hamgyong-bukto",27,"Kyongsong","Gun","County",NA,"Kyongsong"
28,166,"PRK","North Korea",2,"Hamgyong-bukto",28,"Musan","Gun","County",NA,NA
29,166,"PRK","North Korea",2,"Hamgyong-bukto",29,"Myongch'on","Gun","County",NA,"Myongchon"
30,166,"PRK","North Korea",2,"Hamgyong-bukto",30,"Onsong","Gun","County",NA,"Onsong"
31,166,"PRK","North Korea",2,"Hamgyong-bukto",31,"Puryong","Gun","County",NA,"Puryong"
32,166,"PRK","North Korea",2,"Hamgyong-bukto",32,"Puyun","Gun","County",NA,NA
33,166,"PRK","North Korea",2,"Hamgyong-bukto",33,"Saebyol","Gun","County",NA,"Saepyol"
34,166,"PRK","North Korea",2,"Hamgyong-bukto",34,"Yonsa","Gun","County",NA,"Yonsa"
35,166,"PRK","North Korea",3,"Hamgyong-namdo",35,"Chongp'yong","Gun","County",NA,"Jonpyong"
36,166,"PRK","North Korea",3,"Hamgyong-namdo",36,"Dachon","Gun","County",NA,NA
37,166,"PRK","North Korea",3,"Hamgyong-namdo",37,"Doksong","Gun","County",NA,NA
38,166,"PRK","North Korea",3,"Hamgyong-namdo",38,"Hoch'on","Gun","County",NA,"Hochon"
39,166,"PRK","North Korea",3,"Hamgyong-namdo",39,"Hamhung","Si","City",NA,"Hamhung"
40,166,"PRK","North Korea",3,"Hamgyong-namdo",40,"Hamju","Gun","County",NA,NA
41,166,"PRK","North Korea",3,"Hamgyong-namdo",41,"Hongwon","Gun","County",NA,"Hongwon"
42,166,"PRK","North Korea",3,"Hamgyong-namdo",42,"Jangjin","Gun","County",NA,NA
43,166,"PRK","North Korea",3,"Hamgyong-namdo",43,"Kumho","Gun","County",NA,"Kumho"
44,166,"PRK","North Korea",3,"Hamgyong-namdo",44,"Kumya","Gun","County",NA,"Kumya"
45,166,"PRK","North Korea",3,"Hamgyong-namdo",45,"Kowon","Gun","County",NA,"Kowon"
46,166,"PRK","North Korea",3,"Hamgyong-namdo",46,"Pujon","Gun","County",NA,"Bujon"
47,166,"PRK","North Korea",3,"Hamgyong-namdo",47,"Pukch'ong","Gun","County",NA,"Pukchong"
48,166,"PRK","North Korea",3,"Hamgyong-namdo",48,"Rakwon","Gun","County",NA,NA
49,166,"PRK","North Korea",3,"Hamgyong-namdo",49,"Riwon","Gun","County",NA,"Riwon"
50,166,"PRK","North Korea",3,"Hamgyong-namdo",50,"Sinhung","Gun","County",NA,"Sinhung"
51,166,"PRK","North Korea",3,"Hamgyong-namdo",51,"Sinp'o","Si","City",NA,"Sinpo"
52,166,"PRK","North Korea",3,"Hamgyong-namdo",52,"Sudong","Gun","County",NA,NA
53,166,"PRK","North Korea",3,"Hamgyong-namdo",53,"Yonggwang","Gun","County",NA,"Yonggwan"
54,166,"PRK","North Korea",3,"Hamgyong-namdo",54,"Yodok","Gun","County",NA,"Yodok"
55,166,"PRK","North Korea",4,"Hwanghae-bukto",55,"Unp'a","Gun","County",NA,"Unpa"
56,166,"PRK","North Korea",4,"Hwanghae-bukto",56,"Hwangju","Gun","County",NA,NA
57,166,"PRK","North Korea",4,"Hwanghae-bukto",57,"Kaesong","Si","City",NA,"Kaesong"
58,166,"PRK","North Korea",4,"Hwanghae-bukto",58,"Kumch'on","Gun","County",NA,"Kumchon"
59,166,"PRK","North Korea",4,"Hwanghae-bukto",59,"Koksan","Gun","County",NA,NA
60,166,"PRK","North Korea",4,"Hwanghae-bukto",60,"P'yongsan","Gun","County",NA,"Pyongsan"
61,166,"PRK","North Korea",4,"Hwanghae-bukto",61,"Pongsan","Gun","County",NA,"Bongsan"
62,166,"PRK","North Korea",4,"Hwanghae-bukto",62,"Rinsan","Gun","County",NA,NA
63,166,"PRK","North Korea",4,"Hwanghae-bukto",63,"Sariwon","Si","City",NA,"Sariwon"
64,166,"PRK","North Korea",4,"Hwanghae-bukto",64,"Sin'gye","Gun","County",NA,"Singye"
65,166,"PRK","North Korea",4,"Hwanghae-bukto",65,"Sinp'yong","Gun","County",NA,"Sinpyong"
66,166,"PRK","North Korea",4,"Hwanghae-bukto",66,"Songhu","Gun","County",NA,NA
67,166,"PRK","North Korea",4,"Hwanghae-bukto",67,"Songrim","Si","City",NA,NA
68,166,"PRK","North Korea",4,"Hwanghae-bukto",68,"Suan","Gun","County",NA,NA
69,166,"PRK","North Korea",4,"Hwanghae-bukto",69,"T'osan","Gun","County",NA,"Tosan"
70,166,"PRK","North Korea",4,"Hwanghae-bukto",70,"Yonsan","Gun","County",NA,"Yonsan"
71,166,"PRK","North Korea",4,"Hwanghae-bukto",71,"Yontan","Gun","County",NA,"Yontan"
72,166,"PRK","North Korea",5,"Hwanghae-namdo",72,"Unch'on","Gun","County",NA,"Unchon"
73,166,"PRK","North Korea",5,"Hwanghae-namdo",73,"Unryul","Gun","County",NA,"Unryul"
74,166,"PRK","North Korea",5,"Hwanghae-namdo",74,"Anak","Gun","County",NA,NA
75,166,"PRK","North Korea",5,"Hwanghae-namdo",75,"Ch'ongdan","Gun","County",NA,"Chongdan"
76,166,"PRK","North Korea",5,"Hwanghae-namdo",76,"Chaeryong","Gun","County",NA,"Chaeryong"
77,166,"PRK","North Korea",5,"Hwanghae-namdo",77,"Changyon","Gun","County",NA,"Jangyon"
78,166,"PRK","North Korea",5,"Hwanghae-namdo",78,"Haeju","Si","City",NA,NA
79,166,"PRK","North Korea",5,"Hwanghae-namdo",79,"Kangry'ong","Gun","County",NA,"Kangryong"
80,166,"PRK","North Korea",5,"Hwanghae-namdo",80,"Kwail","Gun","County",NA,NA
81,166,"PRK","North Korea",5,"Hwanghae-namdo",81,"Ongjin","Gun","County",NA,NA
82,166,"PRK","North Korea",5,"Hwanghae-namdo",82,"Paekch'on","Gun","County",NA,"Baechon"
83,166,"PRK","North Korea",5,"Hwanghae-namdo",83,"Pongch'on","Gun","County",NA,"Bongchon"
84,166,"PRK","North Korea",5,"Hwanghae-namdo",84,"Pyoksong","Gun","County",NA,"Byoksong"
85,166,"PRK","North Korea",5,"Hwanghae-namdo",85,"Ryongyon","Gun","County",NA,"Ryongyon"
86,166,"PRK","North Korea",5,"Hwanghae-namdo",86,"Samch'on","Gun","County",NA,"Samchon"
87,166,"PRK","North Korea",5,"Hwanghae-namdo",87,"Sinch'on","Gun","County",NA,"Sinchon"
88,166,"PRK","North Korea",5,"Hwanghae-namdo",88,"Sinwon","Gun","County",NA,"Sinwon"
89,166,"PRK","North Korea",5,"Hwanghae-namdo",89,"Songhwa","Gun","County",NA,NA
90,166,"PRK","North Korea",5,"Hwanghae-namdo",90,"T'aet'an","Gun","County",NA,"Taetan"
91,166,"PRK","North Korea",5,"Hwanghae-namdo",91,"Water Body","Gun","County",NA,NA
92,166,"PRK","North Korea",5,"Hwanghae-namdo",92,"Yonan","Gun","County",NA,NA
93,166,"PRK","North Korea",6,"Kaesong",93,"Jangpung",NA,NA,NA,NA
94,166,"PRK","North Korea",6,"Kaesong",94,"Kaepung",NA,NA,NA,NA
95,166,"PRK","North Korea",6,"Kaesong",95,"Panmun",NA,NA,NA,NA
96,166,"PRK","North Korea",7,"Kangwon-do",96,"Anbyon","Gun","County",NA,"Anbyon"
97,166,"PRK","North Korea",7,"Kangwon-do",97,"Ch'onnae","Gun","County",NA,"Chonnae"
98,166,"PRK","North Korea",7,"Kangwon-do",98,"Ch'orwon","Gun","County",NA,"Cholwon"
99,166,"PRK","North Korea",7,"Kangwon-do",99,"Ch'angdo","Gun","County",NA,"Changdo"
100,166,"PRK","North Korea",7,"Kangwon-do",100,"Hoeyang","Gun","County",NA,"Hoiyang"
101,166,"PRK","North Korea",7,"Kangwon-do",101,"Ichon","Gun","County",NA,"Ichon"
102,166,"PRK","North Korea",7,"Kangwon-do",102,"Kimhwa","Gun","County",NA,NA
103,166,"PRK","North Korea",7,"Kangwon-do",103,"Kosong","Gun","County",NA,"Kosong"
104,166,"PRK","North Korea",7,"Kangwon-do",104,"Kosan","Gun","County",NA,NA
105,166,"PRK","North Korea",7,"Kangwon-do",105,"Munchon","Si","City",NA,"Munchon"
106,166,"PRK","North Korea",7,"Kangwon-do",106,"P'an'gyo","Gun","County",NA,"Pangyo"
107,166,"PRK","North Korea",7,"Kangwon-do",107,"P'yonggang","Gun","County",NA,"Pyonggang"
108,166,"PRK","North Korea",7,"Kangwon-do",108,"Poptong","Gun","County",NA,"Bopdong"
109,166,"PRK","North Korea",7,"Kangwon-do",109,"Sep'o","Gun","County",NA,"Sepo"
110,166,"PRK","North Korea",7,"Kangwon-do",110,"T'ongch'on","Si","City",NA,"Tongchon"
111,166,"PRK","North Korea",7,"Kangwon-do",111,"Wonsan","Si","City",NA,"Wonsan"
112,166,"PRK","North Korea",8,"Kumgangsan",112,"Kumgangsan",NA,NA,NA,NA
113,166,"PRK","North Korea",9,"P'yongan-bukto",113,"Uiju","Gun","County",NA,"Uiju"
114,166,"PRK","North Korea",9,"P'yongan-bukto",114,"Byokdong","Gun","County",NA,NA
115,166,"PRK","North Korea",9,"P'yongan-bukto",115,"Ch'olsan","Gun","County",NA,"Cholsan"
116,166,"PRK","North Korea",9,"P'yongan-bukto",116,"Ch'onma","Gun","County",NA,"Chonma"
117,166,"PRK","North Korea",9,"P'yongan-bukto",117,"Ch'angsong","Gun","County",NA,"Changsong"
118,166,"PRK","North Korea",9,"P'yongan-bukto",118,"Chongju-si","Si","City",NA,"Jongju"
119,166,"PRK","North Korea",9,"P'yongan-bukto",119,"Daengwan","Gun","County",NA,NA
120,166,"PRK","North Korea",9,"P'yongan-bukto",120,"Dongrim","Gun","County",NA,NA
121,166,"PRK","North Korea",9,"P'yongan-bukto",121,"Hyangsan","Gun","County",NA,NA
122,166,"PRK","North Korea",9,"P'yongan-bukto",122,"Kujang","Gun","County",NA,NA
123,166,"PRK","North Korea",9,"P'yongan-bukto",123,"Kusong","Si","City",NA,"Kusong"
124,166,"PRK","North Korea",9,"P'yongan-bukto",124,"Kwaksan","Gun","County",NA,NA
125,166,"PRK","North Korea",9,"P'yongan-bukto",125,"Nyongbyon","Gun","County",NA,"Nyongbyon"
126,166,"PRK","North Korea",9,"P'yongan-bukto",126,"P'ihyon","Gun","County",NA,"Pihyon"
127,166,"PRK","North Korea",9,"P'yongan-bukto",127,"Pakch'on","Gun","County",NA,"Bakchon"
128,166,"PRK","North Korea",9,"P'yongan-bukto",128,"Ryongch'on","Gun","County",NA,"Ryongchon"
129,166,"PRK","North Korea",9,"P'yongan-bukto",129,"Sonch'on","Gun","County",NA,"Sonchon"
130,166,"PRK","North Korea",9,"P'yongan-bukto",130,"Sakju","Gun","County",NA,NA
131,166,"PRK","North Korea",9,"P'yongan-bukto",131,"Sindo","Gun","County",NA,NA
132,166,"PRK","North Korea",9,"P'yongan-bukto",132,"T'aech'on","Gun","County",NA,"Taechon"
133,166,"PRK","North Korea",9,"P'yongan-bukto",133,"Tongch'ang","Gun","County",NA,"Tongchang"
134,166,"PRK","North Korea",9,"P'yongan-bukto",134,"Unjon","Gun","County",NA,"Unjon"
135,166,"PRK","North Korea",9,"P'yongan-bukto",135,"Unsan","Gun","County",NA,NA
136,166,"PRK","North Korea",9,"P'yongan-bukto",136,"Yomju","Gun","County",NA,"Yomju"
137,166,"PRK","North Korea",10,"P'yongan-namdo",137,"Unjong","Guyok","Ward",NA,"Unjong"
138,166,"PRK","North Korea",10,"P'yongan-namdo",138,"Unsan","Gun","County",NA,"Unsan"
139,166,"PRK","North Korea",10,"P'yongan-namdo",139,"Anju","Si","City",NA,NA
140,166,"PRK","North Korea",10,"P'yongan-namdo",140,"Ch'ollima","Gun","County",NA,"Chollima"
141,166,"PRK","North Korea",10,"P'yongan-namdo",141,"Ch'ongnam","Gun","County",NA,"Chongnam"
142,166,"PRK","North Korea",10,"P'yongan-namdo",142,"Daean","Gun","County",NA,NA
143,166,"PRK","North Korea",10,"P'yongan-namdo",143,"Haichang","Gun","County",NA,NA
144,166,"PRK","North Korea",10,"P'yongan-namdo",144,"Hanggu","Gun","County",NA,NA
145,166,"PRK","North Korea",10,"P'yongan-namdo",145,"Jungsan","Gun","County",NA,NA
146,166,"PRK","North Korea",10,"P'yongan-namdo",146,"Kaech'on","Si","City",NA,"Kaechon"
147,166,"PRK","North Korea",10,"P'yongan-namdo",147,"Kangso","Gun","County",NA,"Kangso"
148,166,"PRK","North Korea",10,"P'yongan-namdo",148,"Maengsan","Gun","County",NA,NA
149,166,"PRK","North Korea",10,"P'yongan-namdo",149,"Mundok","Gun","County",NA,"Mundok"
150,166,"PRK","North Korea",10,"P'yongan-namdo",150,"Nyongwon","Gun","County",NA,NA
151,166,"PRK","North Korea",10,"P'yongan-namdo",151,"Onch'on","Gun","County",NA,"Onchon"
152,166,"PRK","North Korea",10,"P'yongan-namdo",152,"P'yongsong","Gun","County",NA,"Pyongsong"
153,166,"PRK","North Korea",10,"P'yongan-namdo",153,"P'yongwon","Gun","County",NA,"Pyongwon"
154,166,"PRK","North Korea",10,"P'yongan-namdo",154,"Pukch'ang","Gun","County",NA,"Bukchang"
155,166,"PRK","North Korea",10,"P'yongan-namdo",155,"Ryonggang","Gun","County",NA,NA
156,166,"PRK","North Korea",10,"P'yongan-namdo",156,"Songch'on","Gun","County",NA,"Songchon"
157,166,"PRK","North Korea",10,"P'yongan-namdo",157,"Sinyang","Gun","County",NA,NA
158,166,"PRK","North Korea",10,"P'yongan-namdo",158,"Sukch'on","Gun","County",NA,"Sukchon"
159,166,"PRK","North Korea",10,"P'yongan-namdo",159,"Sunch'on","Si","City",NA,"Sunchon"
160,166,"PRK","North Korea",10,"P'yongan-namdo",160,"Tokch'on","Si","City",NA,"Dokchon"
161,166,"PRK","North Korea",10,"P'yongan-namdo",161,"Taedong","Gun","County",NA,"Daedong"
162,166,"PRK","North Korea",10,"P'yongan-namdo",162,"Taehung","Gun","County",NA,"Daenghung"
163,166,"PRK","North Korea",10,"P'yongan-namdo",163,"Tukchang","Gun","County",NA,"Dukjang"
164,166,"PRK","North Korea",10,"P'yongan-namdo",164,"Waudo","Gun","County",NA,NA
165,166,"PRK","North Korea",10,"P'yongan-namdo",165,"Yangdok","Gun","County",NA,"Yangdok"
166,166,"PRK","North Korea",11,"P'yongyang",166,"Chunghwa","Gun","County",NA,NA
167,166,"PRK","North Korea",11,"P'yongyang",167,"Jong",NA,NA,NA,NA
168,166,"PRK","North Korea",11,"P'yongyang",168,"Kangdong",NA,NA,NA,NA
169,166,"PRK","North Korea",11,"P'yongyang",169,"Kangnam","Gun","County",NA,NA
170,166,"PRK","North Korea",11,"P'yongyang",170,"Pyongyang",NA,NA,NA,NA
171,166,"PRK","North Korea",11,"P'yongyang",171,"Sangwon","Gun","County",NA,"Sangwon"
172,166,"PRK","North Korea",12,"Rason",172,"Rajin","Guyok ","Ward",NA,NA
173,166,"PRK","North Korea",12,"Rason",173,"Sonbong","Gun","County",NA,"Sonbong"
174,166,"PRK","North Korea",13,"Ryanggang",174,"Hyesan","Si","City",NA,NA
175,166,"PRK","North Korea",13,"Ryanggang",175,"Kapsan","Gun","County",NA,NA
176,166,"PRK","North Korea",13,"Ryanggang",176,"Kimhyonggwon","Gun","County",NA,"Kimhyongwon"
177,166,"PRK","North Korea",13,"Ryanggang",177,"Kimhyongjik","Gun","County",NA,"Kimhyongjik"
178,166,"PRK","North Korea",13,"Ryanggang",178,"Kimjongsuk","Gun","County",NA,"Kimjongsuk"
179,166,"PRK","North Korea",13,"Ryanggang",179,"P'ungso","Gun","County",NA,"Phungso"
180,166,"PRK","North Korea",13,"Ryanggang",180,"Paegam","Gun","County",NA,"Baekam"
181,166,"PRK","North Korea",13,"Ryanggang",181,"Poch'on","Gun","County",NA,"Bochon"
182,166,"PRK","North Korea",13,"Ryanggang",182,"Samjiyon","Gun","County",NA,NA
183,166,"PRK","North Korea",13,"Ryanggang",183,"Samsu","Gun","County",NA,NA
184,166,"PRK","North Korea",13,"Ryanggang",184,"Taehongdan","Gun","County",NA,NA
185,166,"PRK","North Korea",13,"Ryanggang",185,"Unhung","Gun","County",NA,"Unhung"
186,166,"PRK","North Korea",14,"Sinuiju",186,"Sinuiju","Si","City",NA,"Sinuiju"
